Día,Tiempo esperado total,Tiempo minimo esperado,Tiempo maximo esperado,Parqueos Libres,Carros sin antender,Almorzaron,Cantidad alumnos,Cantidad parqueos,Salidas por periodos libres,Parametros
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 2, 'red': 10, 'skyblue': 10}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 2, 'red': 11, 'skyblue': 11}"
0,180,20,60,0,2,0,32,25,3,"{'yellow': 3, 'orange': 3, 'red': 13, 'skyblue': 13}"
0,780,20,310,0,3,0,34,25,3,"{'yellow': 3, 'orange': 3, 'red': 14, 'skyblue': 14}"
0,2230,30,350,0,3,0,40,25,3,"{'yellow': 4, 'orange': 4, 'red': 16, 'skyblue': 16}"
0,3800,30,360,0,7,0,44,25,4,"{'yellow': 4, 'orange': 4, 'red': 18, 'skyblue': 18}"
0,4690,30,360,0,10,0,46,25,4,"{'yellow': 4, 'orange': 4, 'red': 19, 'skyblue': 19}"
0,7120,30,610,0,10,0,52,25,4,"{'yellow': 5, 'orange': 5, 'red': 21, 'skyblue': 21}"
0,8340,30,620,0,10,0,54,25,5,"{'yellow': 5, 'orange': 5, 'red': 22, 'skyblue': 22}"
0,13160,30,890,0,15,0,60,25,5,"{'yellow': 6, 'orange': 6, 'red': 24, 'skyblue': 24}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 3, 'red': 8, 'skyblue': 10}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 4, 'red': 10, 'skyblue': 11}"
0,70,20,30,0,0,0,31,25,3,"{'yellow': 3, 'orange': 4, 'red': 11, 'skyblue': 13}"
0,230,20,60,0,2,0,34,25,3,"{'yellow': 3, 'orange': 5, 'red': 12, 'skyblue': 14}"
0,1720,20,350,0,3,0,40,25,3,"{'yellow': 4, 'orange': 6, 'red': 14, 'skyblue': 16}"
0,3100,30,350,0,3,0,43,25,3,"{'yellow': 4, 'orange': 6, 'red': 15, 'skyblue': 18}"
0,4670,30,610,0,9,0,47,25,4,"{'yellow': 4, 'orange': 7, 'red': 17, 'skyblue': 19}"
0,6700,30,610,0,9,0,51,25,5,"{'yellow': 5, 'orange': 7, 'red': 18, 'skyblue': 21}"
0,8670,30,690,0,10,0,54,25,5,"{'yellow': 5, 'orange': 8, 'red': 19, 'skyblue': 22}"
0,13160,40,890,0,14,0,60,25,5,"{'yellow': 6, 'orange': 9, 'red': 21, 'skyblue': 24}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 3, 'red': 10, 'skyblue': 8}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 4, 'red': 11, 'skyblue': 10}"
0,70,20,30,0,0,0,31,25,3,"{'yellow': 3, 'orange': 4, 'red': 13, 'skyblue': 11}"
0,220,20,50,0,1,0,34,25,3,"{'yellow': 3, 'orange': 5, 'red': 14, 'skyblue': 12}"
0,1590,20,350,0,3,0,40,25,3,"{'yellow': 4, 'orange': 6, 'red': 16, 'skyblue': 14}"
0,2710,30,350,0,3,0,43,25,4,"{'yellow': 4, 'orange': 6, 'red': 18, 'skyblue': 15}"
0,4190,30,360,0,9,0,47,25,5,"{'yellow': 4, 'orange': 7, 'red': 19, 'skyblue': 17}"
0,5600,30,370,0,10,0,51,25,5,"{'yellow': 5, 'orange': 7, 'red': 21, 'skyblue': 18}"
0,7020,30,620,0,9,0,54,25,5,"{'yellow': 5, 'orange': 8, 'red': 22, 'skyblue': 19}"
0,9990,30,620,0,12,0,60,25,5,"{'yellow': 6, 'orange': 9, 'red': 24, 'skyblue': 21}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 5, 'red': 7, 'skyblue': 10}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 5, 'red': 8, 'skyblue': 11}"
0,60,20,20,0,0,0,31,25,3,"{'yellow': 3, 'orange': 6, 'red': 9, 'skyblue': 13}"
0,180,20,30,0,0,0,35,25,3,"{'yellow': 3, 'orange': 7, 'red': 11, 'skyblue': 14}"
0,1350,20,240,0,3,0,40,25,3,"{'yellow': 4, 'orange': 8, 'red': 12, 'skyblue': 16}"
0,3200,20,610,0,4,0,44,25,4,"{'yellow': 4, 'orange': 9, 'red': 13, 'skyblue': 18}"
0,4260,30,610,0,4,0,46,25,4,"{'yellow': 4, 'orange': 9, 'red': 14, 'skyblue': 19}"
0,6720,30,610,0,9,0,51,25,5,"{'yellow': 5, 'orange': 10, 'red': 15, 'skyblue': 21}"
0,9040,40,690,0,11,0,55,25,5,"{'yellow': 5, 'orange': 11, 'red': 17, 'skyblue': 22}"
0,13760,40,890,0,14,0,60,25,5,"{'yellow': 6, 'orange': 12, 'red': 18, 'skyblue': 24}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 5, 'red': 8, 'skyblue': 8}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 5, 'red': 10, 'skyblue': 10}"
0,60,20,20,0,0,0,31,25,3,"{'yellow': 3, 'orange': 6, 'red': 11, 'skyblue': 11}"
0,140,20,30,0,0,0,34,25,3,"{'yellow': 3, 'orange': 7, 'red': 12, 'skyblue': 12}"
0,1060,20,240,0,3,0,40,25,3,"{'yellow': 4, 'orange': 8, 'red': 14, 'skyblue': 14}"
0,2150,20,350,0,3,0,43,25,4,"{'yellow': 4, 'orange': 9, 'red': 15, 'skyblue': 15}"
0,3930,30,610,0,5,0,47,25,5,"{'yellow': 4, 'orange': 9, 'red': 17, 'skyblue': 17}"
0,5610,30,610,0,9,0,51,25,5,"{'yellow': 5, 'orange': 10, 'red': 18, 'skyblue': 18}"
0,7020,30,610,0,9,0,54,25,5,"{'yellow': 5, 'orange': 11, 'red': 19, 'skyblue': 19}"
0,10930,40,690,0,13,0,60,25,5,"{'yellow': 6, 'orange': 12, 'red': 21, 'skyblue': 21}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 5, 'red': 10, 'skyblue': 7}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 5, 'red': 11, 'skyblue': 8}"
0,60,20,20,0,0,0,31,25,3,"{'yellow': 3, 'orange': 6, 'red': 13, 'skyblue': 9}"
0,160,20,30,0,0,0,35,25,3,"{'yellow': 3, 'orange': 7, 'red': 14, 'skyblue': 11}"
0,960,20,260,0,3,0,40,25,4,"{'yellow': 4, 'orange': 8, 'red': 16, 'skyblue': 12}"
0,2080,20,340,0,5,0,44,25,5,"{'yellow': 4, 'orange': 9, 'red': 18, 'skyblue': 13}"
0,2930,20,350,0,5,0,46,25,5,"{'yellow': 4, 'orange': 9, 'red': 19, 'skyblue': 14}"
0,4620,30,360,0,9,0,51,25,5,"{'yellow': 5, 'orange': 10, 'red': 21, 'skyblue': 15}"
0,6720,30,610,0,9,0,55,25,5,"{'yellow': 5, 'orange': 11, 'red': 22, 'skyblue': 17}"
0,9240,30,620,0,10,0,60,25,5,"{'yellow': 6, 'orange': 12, 'red': 24, 'skyblue': 18}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 6, 'red': 6, 'skyblue': 10}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 7, 'red': 7, 'skyblue': 11}"
0,80,20,20,0,0,0,32,25,3,"{'yellow': 3, 'orange': 8, 'red': 8, 'skyblue': 13}"
0,300,20,130,0,0,0,35,25,3,"{'yellow': 3, 'orange': 9, 'red': 9, 'skyblue': 14}"
0,1290,20,350,0,1,0,40,25,3,"{'yellow': 4, 'orange': 10, 'red': 10, 'skyblue': 16}"
0,3230,30,610,0,4,0,44,25,4,"{'yellow': 4, 'orange': 11, 'red': 11, 'skyblue': 18}"
0,4850,30,610,0,3,0,47,25,4,"{'yellow': 4, 'orange': 12, 'red': 12, 'skyblue': 19}"
0,7630,30,610,0,6,0,52,25,5,"{'yellow': 5, 'orange': 13, 'red': 13, 'skyblue': 21}"
0,10330,40,690,0,13,0,55,25,5,"{'yellow': 5, 'orange': 14, 'red': 14, 'skyblue': 22}"
0,14780,50,890,0,17,0,60,25,5,"{'yellow': 6, 'orange': 15, 'red': 15, 'skyblue': 24}"
0,0,0,0,4,0,0,23,25,1,"{'yellow': 2, 'orange': 6, 'red': 8, 'skyblue': 7}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 7, 'red': 10, 'skyblue': 8}"
0,60,20,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 8, 'red': 11, 'skyblue': 9}"
0,140,20,20,0,0,0,35,25,3,"{'yellow': 3, 'orange': 9, 'red': 12, 'skyblue': 11}"
0,530,20,130,0,1,0,40,25,4,"{'yellow': 4, 'orange': 10, 'red': 14, 'skyblue': 12}"
0,1390,20,210,0,4,0,43,25,5,"{'yellow': 4, 'orange': 11, 'red': 15, 'skyblue': 13}"
0,3010,30,610,0,4,0,47,25,5,"{'yellow': 4, 'orange': 12, 'red': 17, 'skyblue': 14}"
0,4750,30,610,0,4,0,51,25,4,"{'yellow': 5, 'orange': 13, 'red': 18, 'skyblue': 15}"
0,7270,30,610,0,6,0,55,25,5,"{'yellow': 5, 'orange': 14, 'red': 19, 'skyblue': 17}"
0,9620,30,690,0,11,0,60,25,5,"{'yellow': 6, 'orange': 15, 'red': 21, 'skyblue': 18}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 6, 'red': 10, 'skyblue': 6}"
0,0,0,0,0,0,0,27,25,1,"{'yellow': 2, 'orange': 7, 'red': 11, 'skyblue': 7}"
0,70,10,20,0,0,0,32,25,3,"{'yellow': 3, 'orange': 8, 'red': 13, 'skyblue': 8}"
0,140,20,20,0,0,0,35,25,3,"{'yellow': 3, 'orange': 9, 'red': 14, 'skyblue': 9}"
0,310,20,70,0,1,0,40,25,5,"{'yellow': 4, 'orange': 10, 'red': 16, 'skyblue': 10}"
0,1460,20,240,0,5,0,44,25,5,"{'yellow': 4, 'orange': 11, 'red': 18, 'skyblue': 11}"
0,2510,30,340,0,5,0,47,25,5,"{'yellow': 4, 'orange': 12, 'red': 19, 'skyblue': 12}"
0,4600,30,380,0,6,0,52,25,5,"{'yellow': 5, 'orange': 13, 'red': 21, 'skyblue': 13}"
0,6290,30,610,0,6,0,55,25,5,"{'yellow': 5, 'orange': 14, 'red': 22, 'skyblue': 14}"
0,7650,30,470,0,9,0,60,25,4,"{'yellow': 6, 'orange': 15, 'red': 24, 'skyblue': 15}"
0,0,0,0,3,0,0,24,25,1,"{'yellow': 2, 'orange': 7, 'red': 5, 'skyblue': 10}"
0,0,0,0,1,0,0,26,25,1,"{'yellow': 2, 'orange': 8, 'red': 5, 'skyblue': 11}"
0,60,20,20,0,0,0,31,25,2,"{'yellow': 3, 'orange': 9, 'red': 6, 'skyblue': 13}"
0,600,20,140,0,0,0,35,25,3,"{'yellow': 3, 'orange': 11, 'red': 7, 'skyblue': 14}"
0,1860,20,350,0,0,0,40,25,3,"{'yellow': 4, 'orange': 12, 'red': 8, 'skyblue': 16}"
0,3410,20,610,0,4,0,44,25,4,"{'yellow': 4, 'orange': 13, 'red': 9, 'skyblue': 18}"
0,4900,30,610,0,5,0,46,25,5,"{'yellow': 4, 'orange': 14, 'red': 9, 'skyblue': 19}"
0,7880,40,690,0,7,0,51,25,4,"{'yellow': 5, 'orange': 15, 'red': 10, 'skyblue': 21}"
0,10650,40,690,0,12,0,55,25,5,"{'yellow': 5, 'orange': 17, 'red': 11, 'skyblue': 22}"
0,15770,50,890,0,17,0,60,25,5,"{'yellow': 6, 'orange': 18, 'red': 12, 'skyblue': 24}"
